"Expand Settings","Открыть Настройки"
"Expand Job Codes","Раскрыть Коды Кронов"
"Schedule Generate Every","генерировать расписание каждые"
"Schedule Ahead For","время до появлении записи"
"Schedule Lifetime","Время через которое крон пропущен"
"History Cleanup Every","Время хранения записей"
"History Success Lifetime","Время хранения успешных записей"
"History Failure Lifetime","Время хранения неудачных записей"
"Use Separate Process","использовать отдельные процессы 0/1"
"Time Before Cron Stuck","Время, через которое крон завис"
"Cron Processes Monitor","Мониторинг крон процессов"
"Setting Link","Ссылка на настройку"
"No Path","Путь не указан"
"Group Name","Имя группы"
"Time","Время"
"Time Schedule","Расписание"
"Finished At","Закончено В"
"Executed At","Начато В"
"Created At","Создано В"
"Scheduled At","запланировано В"
"Messages","Сообщения"
"Module","Модуль"
"Сron Stuck Threshold","Порог зависшего крона"
"Expand Settings","Развернуть"
"Schedule Grid Of Group: %1","Расписание кронов для группы: %1"
