"Lachestry","Lachestry"
"Error Notifier","Уведомления об ошибках"
"General Settings","Общие настройки"
"Enable Error Notifications","Включить уведомления об ошибках"
"Notification Events","События уведомлений"
"Notify on Indexer Errors","Уведомлять об ошибках индексатора"
"Notify on Cron Errors","Уведомлять об ошибках крон-заданий"
"Notify on Message Queue Errors","Уведомлять об ошибках очереди сообщений"
"Notify on API Errors","Уведомлять об ошибках API"
"Notify on Stuck Cron Jobs","Уведомлять о зависших крон-заданиях" 
